long;lat;Name
-84.13555555555556;9.903111111111112;PTZ 001 - Golosinas Keneth
-84.12366666666667;9.922027777777776;PTZ 002 - Los Eliseos
-84.13388888888889;9.90788888888889;PTZ 003 - Cruce La Avellana
-84.13828755172256;9.919351217924644;PTZ 004 - Las Palabras
-84.1344524160499;9.914997014915663;PTZ 005 - Villa Olímpica Este
-84.13741666666667;9.920083333333332;PTZ 006 - Mundo del Pan
-84.12783333333333;9.892333333333333;PTZ 007 - Cuesta calderones
-84.12472222222222;9.932444444444444;PTZ 008 - Cruce Los Anonos
-84.12983333333332;9.919222222222222;PTZ 009 - Escuela Bello Horizonte
-84.12525;9.929166666666665;PTZ 010 - Antiguo Palo Mango
-84.13288888888889;9.904833333333334;PTZ 011 - El Ebais San Antonio
-84.12866666666666;9.89711111111111;PTZ 012 - Pico Blanco
-84.13713195259719;9.920168594087283;PTZ 013 - Sorrento
-84.14771150708707;9.92178489382919;PTZ 014 - Rosalinda
-84.14175;9.898138888888889;PTZ 015 - Florecilla 2
-84.1223611111111;9.933;PTZ 016 - Puente Los Anonos
-84.13502777777778;9.929138888888888;PTZ 017 - Esc. Yanuario Quesada
-84.13277777777778;9.909305555555555;PTZ 018 - Parada de Santa Teresa
-84.14331947813858;9.916469013950604;PTZ 019 - Centro Civico 2 (Parqueo Entrada Principal)
-84.13472222222222;9.936583333333333;PTZ 020 - Anfiteatro TrejosMontelegre
-84.13361111111112;9.932555555555554;PTZ 021 - Embajada de Korea
-84.13763895295372;9.910144126167046;PTZ 022 - Entierrillos 2
-84.12661919037974;9.9321624952941;PTZ 023 - Super Sareto
-84.13497222222223;9.926138888888888;PTZ 024 - Hulera
-84.15255126694711;9.94689819499659;PTZ 025 - PurdyMotor
-84.1388888888889;9.902166666666668;PTZ 026 - Super Aguimar
-84.14561111111112;9.921861111111111;PTZ 027 - Entrada Jaboncillos
-84.13646794292396;9.92224482536385;PTZ 028 - Riversite
-84.13738888888889;9.915833333333333;PTZ 029 - Escuela Benjamín
-84.13550000000001;9.934027777777779;PTZ 030 - Residencial Trejos Montealegre
-84.13083333333333;9.917388888888889;PTZ 031 - Super la Flor (Bello Horizonte)
-84.16911111111112;9.95686111111111;PTZ 032 - Condominio Antigua
-84.15441666666668;9.934055555555556;PTZ 033 - Fernández Aguilar
-84.1431388888889;9.930583333333333;PTZ 034 - Country Club - Noroeste
-84.14236111111111;9.930166666666667;PTZ 035 - Country Club - Norte
-84.1408888888889;9.919833333333333;PTZ 036 - Banco Nacional
-84.12599999999999;9.921999999999999;PTZ 037 - Cruce Los Eliseos
-84.12852777777778;9.933222222222222;PTZ 038 - Trejos MonteAlegre - 1
-84.13066666666666;9.932277777777777;PTZ 039 - Rostipollos
-84.13183333333333;9.91613888888889;PTZ 040 - Los Reyes
-84.14669484021283;9.930839699029244;PTZ 041 - Casa del Embajador USA
-84.1616126975444;9.946689987895097;PTZ 042 - Cruce Construplaza
-84.13763892828462;9.910141667388293;PTZ 043 - Entierrillos 1
-84.12774999999999;9.927472222222221;PTZ 044 - Palmas de Mallorca
-84.14905555555556;9.944277777777778;PTZ 045 - Multiplaza - 1
-84.14068601833154;9.92246036799038;PTZ 046 - Correos de Costa Rica
-84.15669444444445;9.941833333333333;PTZ 047 - Cerro Alto
-84.13466666666667;9.910027777777778;PTZ 048 - Parque La Avellana
-84.13863888888889;9.930027777777777;PTZ 049 - Plaza Obelisco
-84.13358333333333;9.929222222222222;PTZ 050 - MasxMenos
-84.14905555555556;9.944277777777778;PTZ 051 - Multiplaza - 2
-84.12845129446133;9.933922489634696;PTZ 052 - Walmart
-84.14943000389363;9.94490344901644;PTZ 053 - Raven
-84.12852777777778;9.933222222222222;PTZ 054 - Trejos MonteAlegre - 2
-84.14505555555556;9.925027777777776;PTZ 055 - Bohemia Oeste
-84.12866980426999;9.932922553616706;PTZ 056 - BCR Trejos
-84.15166666666667;9.939944444444444;PTZ 057 - Mayca
-84.12523115699939;9.925093748996593;PTZ 058 - Bohemia Este
-84.14080555555556;9.921972222222221;PTZ 059 - Plaza Real
-84.12777777777777;9.891305555555554;PTZ 060 - Los Calderones
-84.13869557681697;9.905284270089872;PTZ 061 - El Descanso
-84.16469444444445;9.952055555555555;PTZ 062 - SaintMarry
-84.1331111111111;9.908222222222223;PTZ 063 - Mondaisa
-84.13961111111112;9.937277777777778;PTZ 064 - Embajada Uruguay
-84.16019444444446;9.903833333333333;PTZ 065 - Bebedero Iglesia (Torres Bebedero)
-84.14033333333334;9.905833333333334;PTZ 066 - Super Sabanilla
-84.14078613376645;9.911590186415534;PTZ 067 - Intersección La Pajarera
-84.13294444444443;9.906611111111111;PTZ 068 - Estadio Chipopa
-84.15430555555557;9.900277777777777;PTZ 069 - Cruce Bebedero Paso Hondo
-84.15658333333334;9.904305555555556;PTZ 070 - Bebedero a Tiquicia
-84.1363888888889;9.899861111111111;PTZ 071- Cementerio La Esperanza
-84.15352777777778;9.912611111111111;PTZ 072 - Cruce La Pajara Pinta
-84.14769444444445;9.914305555555556;PTZ 073 - Ebais Corazón de Jesús
-84.14200000000001;9.906666666666666;PTZ 074 - Lotes Peru
-84.1422299335879;9.904528617219457;PTZ 075 - Cruce Los Chumicos
-84.13568981889271;9.893838275750387;PTZ 076 - Juan Santa Ana
-84.12424999999999;9.90688888888889;PTZ 077 - Tejarcillos
-84.14303253258235;9.920567101904718;PTZ 078 - La Violeta
-84.15416666666667;9.927555555555555;PTZ 079 - Condomio Tamarindo
-84.14158333333334;9.923;PTZ 080 - Juzgado de Pensiones
-84.12291666666665;9.924305555555556;PTZ 081 - Calle Alemanes
-84.12653827379928;9.903698032891834;PTZ 082 - Tapachula
-84.14619444444445;9.918083333333334;PTZ 083 - Plantel
-84.13715776733385;9.921881194215928;PTZ 085 - Soda Gil
-84.16194444444444;9.93525;PTZ 086- Alto las palomas
-84.1366388888889;9.891916666666667;PTZ 087 - La Cerveceria
-84.14997222222223;9.940444444444445;PTZ 088 - EBC
-84.13836420107293;9.917503713045365;PTZ 089 - Carnes Castro
-84.12163888888888;9.918833333333334;PTZ 090 - Nuevo Horizonte
-84.13813672418277;9.913883160393157;PTZ 091 - Liceo
-84.15205555555556;9.926472222222221;PTZ 092 - Portofino
-84.15850949818784;9.952263092978479;PTZ 093 - zona industrial
-84.1325;9.896138888888888;PTZ 094 - La Casa del Sapo
-84.14450754409238;9.91483183465143;PTZ 095 - Vista de Oro 2da Aguja
-84.14150000000001;9.896944444444443;PTZ 096 - Escuela El Carmen
-84.12505555555555;9.903500000000001;PTZ 097 - Palo Campana
-84.13619444444446;9.917416666666666;PTZ 098 - Calle Uvita
-84.14312310649115;9.91799069718998;PTZ 099 - Centro Cívico 1
-84.13842226182446;9.916777982028337;PTZ 100 - Ñitos Bar
-84.164;9.944972222222223;PTZ 101 - Boqueron Adentro
-84.13583333333334;9.925277777777778;PTZ 102 - Calle Murillo
-84.1588888888889;9.942805555555555;PTZ 103 - Boqueron Afuera
-84.14841666666668;9.913527777777778;PTZ 104 - Los Castro
-84.13180555555554;9.934944444444445;PTZ 105 - Rotonda Promerica
-84.15936111111111;9.944083333333333;PTZ 106 - Escuela Guachipelin
-84.139098793988;9.920291540192189;PTZ 107 - Ópticas Visión
-84.16025;9.947777777777778;PTZ 108 - Barrio Pobre
-84.13522222222223;9.927999999999999;PTZ 109 - Iglesia de San Rafael
-84.13611111111112;9.924194444444444;PTZ 110 - Plaza Mynard
